,noise,level,metric,model,ground
0,bias,0.3,accuracy,LR_noisy,0.729 + 0.003 
1,bias,0.3,accuracy,Reweight_noisy,0.753 + 0.003 
2,bias,0.3,accuracy,Reduction_noisy,0.697 + 0.006 
3,bias,0.3,accuracy,FR_fair,0.709 + 0.004
4,bias,0.3,accuracy,FR_emp,0.744 + 0.002
5,bias,0.3,accuracy,LR_fair,0.736 + 0.005
6,bias,0.3,accuracy,Reweight_fair,0.741 + 0.009
7,bias,0.3,accuracy,Reduction_fair,0.730 + 0.007
8,bias,0.3,accuracy,FR_fair,0.709 + 0.004
9,bias,0.3,accuracy,FR_emp,0.744 + 0.002
10,bias,0.3,accuracy,LR_emp,0.736 +  0.005
11,bias,0.3,accuracy,Reweight_emp,0.742 +  0.010
12,bias,0.3,accuracy,Reduction_emp,0.730 +  0.008
13,bias,0.3,accuracy,FR_fair,0.709 + 0.004
14,bias,0.3,accuracy,FR_emp,0.744 + 0.002
15,bias,0.3,Equal_Opportunity,LR_noisy,0.370 + 0.010 
16,bias,0.3,Equal_Opportunity,Reweight_noisy,0.119 + 0.011 
17,bias,0.3,Equal_Opportunity,Reduction_noisy,0.100 + 0.011 
18,bias,0.3,Equal_Opportunity,FR_fair,0.033 + 0.007
19,bias,0.3,Equal_Opportunity,FR_emp,0.016 + 0.007
20,bias,0.3,Equal_Opportunity,LR_fair,0.067 + 0.050
21,bias,0.3,Equal_Opportunity,Reweight_fair,0.048 + 0.033
22,bias,0.3,Equal_Opportunity,Reduction_fair,0.018 + 0.011
23,bias,0.3,Equal_Opportunity,FR_fair,0.033 + 0.007
24,bias,0.3,Equal_Opportunity,FR_emp,0.016 + 0.007
25,bias,0.3,Equal_Opportunity,LR_emp,0.069 +  0.050
26,bias,0.3,Equal_Opportunity,Reweight_emp,0.048 +  0.032
27,bias,0.3,Equal_Opportunity,Reduction_emp,0.018 +  0.011
28,bias,0.3,Equal_Opportunity,FR_fair,0.033 + 0.007
29,bias,0.3,Equal_Opportunity,FR_emp,0.016 + 0.007
30,bias,0.3,equalized_odds,LR_noisy,0.395 + 0.007 
31,bias,0.3,equalized_odds,Reweight_noisy,0.119 + 0.011 
32,bias,0.3,equalized_odds,Reduction_noisy,0.100 + 0.011 
33,bias,0.3,equalized_odds,FR_fair,0.057 + 0.006
34,bias,0.3,equalized_odds,FR_emp,0.016 + 0.007
35,bias,0.3,equalized_odds,LR_fair,0.074 + 0.047
36,bias,0.3,equalized_odds,Reweight_fair,0.051 + 0.031
37,bias,0.3,equalized_odds,Reduction_fair,0.026 + 0.013
38,bias,0.3,equalized_odds,FR_fair,0.057 + 0.006
39,bias,0.3,equalized_odds,FR_emp,0.016 + 0.007
40,bias,0.3,equalized_odds,LR_emp,0.076 +  0.047
41,bias,0.3,equalized_odds,Reweight_emp,0.052 +  0.030
42,bias,0.3,equalized_odds,Reduction_emp,0.026 +  0.013
43,bias,0.3,equalized_odds,FR_fair,0.057 + 0.006
44,bias,0.3,equalized_odds,FR_emp,0.016 + 0.007
